code,min_edu,max_edu
#011,1,3
#021,1,3
#031,1,3
#111,1,3
#112,1,3
#121,1,3
#122,1,3
#131,1,3
#132,1,3
#133,1,3
#134,1,3
#141,1,3
#142,1,3
#143,1,3
#211,1,4
#212,2,4
#213,2,4
#214,2,4
#215,2,4
#216,1,4
#221,2,4
#222,2,4
#223,2,4
#224,2,4
#225,2,4
#226,2,4
#231,2,4
#232,2,4
#233,2,4
#234,2,4
#235,1,4
#241,2,4
#242,2,4
#243,1,4
#251,1,4
#252,1,4
#261,2,4
#262,0,4
#263,0,3
#264,2,4
#265,0,3
#311,2,4
#312,2,4
#313,1,4
#314,2,4
#315,1,4
#321,2,4
#322,2,4
#323,2,4
#324,2,4
#325,2,4
#331,2,4
#332,1,3
#333,1,3
#334,1,3
#335,1,4
#341,2,4
#342,0,3
#343,0,3
#351,1,3
#352,1,3
#411,1,3
#412,1,3
#413,0,3
#421,1,3
#422,0,3
#431,1,4
#432,1,4
#441,1,3
#511,0,3
#512,0,3
#513,0,1
#514,0,2
#515,0,2
#516,0,1
#521,0,1
#522,0,3
#523,0,1
#524,0,3
#531,0,2
#532,0,2
#541,0,2
#611,0,1
#612,0,1
#613,0,1
#621,0,2
#622,0,1
#631,0,1
#632,0,1
#633,0,1
#634,0,1
#711,0,2
#712,0,2
#713,0,2
#721,0,2
#722,0,2
#723,0,2
#731,0,2
#732,1,3
#741,1,3
#742,1,3
#751,1,3
#752,1,3
#753,1,3
#754,1,3
#811,0,1
#812,0,1
#813,0,2
#814,0,2
#815,0,2
#816,0,2
#817,1,2
#818,0,3
#821,0,2
#831,1,2
#832,1,2
#833,1,2
#834,1,2
#835,0,2
#911,0,1
#912,0,1
#921,0,1
#931,0,1
#932,0,1
#933,0,1
#941,0,1
#951,0,1
#952,0,1
#961,0,1
#962,0,1
